KIDSDRIV,AGE,HOMEKIDS,YOJ,INCOME,PARENT1,HOME_VAL,MSTATUS,GENDER,TRAVTIME,CAR_USE,BLUEBOOK,TIF,RED_CAR,OLDCLAIM,CLM_FREQ,REVOKED,MVR_PTS,CLM_AMT,CAR_AGE,CLAIM_FLAG,URBANICITY,HOME_VAL_IMPUTED,EDUCATION_CODE,OCCUPATION_FREQ,CAR_TYPE_RISK,RISK_SCORE,CLAIM_RATIO,CAR_Minivan,CAR_Panel Truck,CAR_Pickup,CAR_Sports Car,CAR_Van,CAR_z_SUV,OCC_Clerical,OCC_Lawyer,OCC_Manager,OCC_Other,OCC_Professional,OCC_z_Blue Collar
0,60.0,0,11.0,67349.0,0,205669.0,0,1,14,0,14230.0,11,1,4461.0,2,0,3,0.0,18.0,0,1,False,4,0.13650485436893203,0.1726698848867434,2.1518009654660233,0.16666666666666666,True,False,False,False,False,False,False,False,False,False,True,False
0,43.0,0,11.0,91449.0,0,257252.0,0,1,22,1,14940.0,1,1,0.0,0,0,0,0.0,1.0,0,1,False,1,0.22213592233009707,0.1726698848867434,0.351800965466023,0.0,True,False,False,False,False,False,False,False,False,False,False,True
0,48.0,0,11.0,52881.0,0,205669.0,0,1,26,0,21970.0,1,1,0.0,0,0,2,0.0,10.0,0,1,False,2,0.12203883495145632,0.2736156351791531,1.382084690553746,0.0,False,False,False,False,True,False,False,False,True,False,False,False
0,35.0,1,10.0,16039.0,0,124191.0,1,0,5,0,4010.0,4,0,38690.0,2,0,3,0.0,10.0,0,1,False,1,0.15436893203883495,0.2917100242802636,1.5875130072840793,0.4,False,False,False,False,False,True,True,False,False,False,False,False
0,51.0,0,14.0,53526.0,0,306251.0,1,1,32,0,15440.0,7,1,0.0,0,0,0,0.0,6.0,0,1,False,0,0.22213592233009707,0.1726698848867434,0.151800965466023,0.0,True,False,False,False,False,False,False,False,False,False,False,True
0,50.0,0,11.0,114986.0,0,243925.0,1,0,36,0,18000.0,1,0,19217.0,2,1,3,0.0,17.0,0,1,False,4,0.26485436893203884,0.2917100242802636,2.1875130072840796,1.0,False,False,False,False,False,True,False,False,False,True,False,False
0,34.0,1,12.0,125301.0,1,205669.0,0,0,46,1,17430.0,1,0,0.0,0,0,0,2946.0,7.0,1,1,False,2,0.22213592233009707,0.3460559796437659,0.6038167938931298,0.0,False,False,False,True,False,False,False,False,False,False,False,True
0,54.0,0,11.0,18755.0,0,205669.0,1,0,33,0,8780.0,1,0,0.0,0,0,0,0.0,1.0,0,1,False,0,0.22213592233009707,0.2917100242802636,0.1875130072840791,0.0,False,False,False,False,False,True,False,False,False,False,False,True
1,40.0,1,11.0,50815.0,1,205669.0,0,1,21,0,18930.0,6,0,3295.0,1,0,2,6477.0,1.0,1,1,False,1,0.12203883495145632,0.1726698848867434,1.151800965466023,0.14285714285714285,True,False,False,False,False,False,False,False,True,False,False,False
0,44.0,2,12.0,43486.0,1,205669.0,0,0,30,1,5900.0,10,0,0.0,0,0,0,0.0,10.0,0,0,False,1,0.22213592233009707,0.2917100242802636,0.2875130072840791,0.0,False,False,False,False,False,True,False,False,False,False,False,True
1,37.0,2,11.0,107961.0,0,333680.0,1,1,44,1,16970.0,1,1,2374.0,1,1,10,4021.0,7.0,1,1,False,2,0.22213592233009707,0.2736156351791531,4.582084690553746,0.5,False,False,False,False,True,False,False,False,False,False,False,True
0,34.0,0,10.0,62978.0,0,205669.0,0,0,34,0,11200.0,1,0,0.0,0,0,0,2501.0,1.0,1,1,False,2,0.15436893203883495,0.2917100242802636,0.5875130072840791,0.0,False,False,False,False,False,True,True,False,False,False,False,False
0,50.0,0,7.0,106952.0,0,205669.0,0,1,48,1,18510.0,7,0,0.0,0,0,1,0.0,17.0,0,0,False,2,0.13650485436893203,0.2736156351791531,0.8820846905537459,0.0,False,False,False,False,True,False,False,False,False,False,True,False
0,53.0,0,14.0,77100.0,0,205669.0,0,0,15,0,18300.0,1,0,0.0,0,0,0,6077.0,11.0,1,1,False,3,0.10009708737864077,0.3460559796437659,0.8038167938931299,0.0,False,False,False,True,False,False,False,True,False,False,False,False
0,43.0,0,5.0,52642.0,0,209970.0,1,0,36,0,22420.0,7,0,0.0,0,0,0,0.0,1.0,0,0,False,3,0.13650485436893203,0.1726698848867434,0.6518009654660231,0.0,True,False,False,False,False,False,False,False,False,False,True,False
0,55.0,0,11.0,59162.0,0,180232.0,1,1,25,1,17600.0,7,1,5028.0,2,1,3,0.0,9.0,0,1,False,2,0.12203883495145632,0.2736156351791531,1.7820846905537464,0.25,False,False,False,False,True,False,False,False,True,False,False,False
0,53.0,0,11.0,130795.0,0,205669.0,0,1,64,1,28340.0,6,1,0.0,0,0,3,1267.0,10.0,1,1,False,4,0.26485436893203884,0.2637749120750293,2.179132473622509,0.0,False,True,False,False,False,False,False,False,False,True,False,False
0,35.0,2,11.0,21204.0,1,205669.0,0,1,74,0,9230.0,6,0,0.0,0,1,0,0.0,4.0,0,0,False,1,0.15436893203883495,0.31281761716544326,0.293845285149633,0.0,False,False,True,False,False,False,True,False,False,False,False,False
0,45.0,0,0.0,0.0,0,106859.0,1,0,48,0,6000.0,1,0,0.0,0,0,3,2920.0,5.0,1,1,False,0,0.26485436893203884,0.2917100242802636,1.3875130072840793,0.0,False,False,False,False,False,True,False,False,False,True,False,False
0,39.0,3,12.0,51884.0,1,180951.0,0,0,43,0,10590.0,6,0,0.0,0,0,0,0.0,13.0,0,0,False,2,0.15436893203883495,0.2917100242802636,0.4875130072840791,0.0,False,False,False,False,False,True,True,False,False,False,False,False
0,59.0,0,12.0,87460.0,0,205669.0,0,1,45,0,15420.0,1,1,44857.0,2,0,4,4111.0,1.0,1,1,False,1,0.12203883495145632,0.1726698848867434,1.951800965466023,1.0,True,False,False,False,False,False,False,False,True,False,False,False
0,42.0,0,11.0,59945.0,0,192207.0,1,1,42,0,14190.0,6,0,0.0,0,0,0,0.0,16.0,0,1,False,3,0.10009708737864077,0.1726698848867434,0.751800965466023,0.0,True,False,False,False,False,False,False,True,False,False,False,False
